Asset Class,Subclass,Supervisory factor,Correlation
credit,AAA,0.0038,0.5
credit,AA,0.0038,0.5
credit,A,0.0042,0.5
credit,BBB,0.0054,0.5
credit,BB,0.0106,0.5
credit,B,0.016,0.5
credit,CCC,0.06,0.5
credit,IG,0.0038,0.8
credit,SG,0.0106,0.8
